transaction_id,datetime,date,year,month,year_month,year_quarter,store_id,store_name,district,store_lat,store_lon,customer_id,customer_gender,age_band,customer_segment,channel,payment_method,campaign,product_category,product_subcategory,quantity,unit_price_mur,discount_pct,gross_margin_pct,gross_sales_mur,net_sales_mur,cost_mur,gross_profit_mur,returned_flag,delivery_minutes,satisfaction_score,calc_net_sales,diff
T0016367,2024-01-01T00:33:41Z,2024-01-01,2024,1,2024-01,2024Q1,12,IslandMart Store 12,Plaines Wilhems,-20.28937462867736,57.45593342422749,1574,Male,25-34,New,In-store,Cash,None,Grocery,Beverages,3,46.36,0.037,0.192,139.08,133.93404,108.22,25.71,0,NA,4.6,133.93404,0.004040000000003374
T0011807,2024-01-01T04:20:26Z,2024-01-01,2024,1,2024-01,2024Q1,5,IslandMart Store 05,Black River,-20.34485764110588,57.362613537186526,1245,Male,25-34,New,In-store,MobileMoney,None,Baby,Care,2,428.86,0.012,0.18,857.72,847.42736,694.89,152.54,0,NA,4.5,847.42736,0.0026399999999284773
T0005406,2024-01-01T04:27:32Z,2024-01-01,2024,1,2024-01,2024Q1,3,IslandMart Store 03,Plaines Wilhems,-20.283854671551527,57.490571303838465,650,Female,35-44,New,In-store,Card,None,Grocery,Fresh,3,87.11,0.01,0.184,261.33,258.7167,211.12,47.6,0,NA,3.6,258.7167,0.0033000000000242835
T0007504,2024-01-01T06:33:07Z,2024-01-01,2024,1,2024-01,2024Q1,1,IslandMart Store 01,Pamplemousses,-20.12781205405367,57.56431166803455,2156,Male,18-24,Returning,Delivery,Cash,None,Grocery,Fresh,2,84.45,0.016,0.204,168.9,166.1976,132.3,33.9,0,72,4,166.1976,0.0023999999999944066
T0004762,2024-01-01T07:52:23Z,2024-01-01,2024,1,2024-01,2024Q1,2,IslandMart Store 02,Moka,-20.190172770008743,57.47793486185042,653,Female,35-44,New,In-store,Cash,None,Grocery,Snacks,1,40.57,0.042,0.273,40.57,38.86606,28.26,10.61,0,NA,4.4,38.86606,0.003940000000000055
T0021133,2024-01-01T10:06:30Z,2024-01-01,2024,1,2024-01,2024Q1,5,IslandMart Store 05,Black River,-20.34485764110588,57.362613537186526,589,Male,25-34,Returning,Online,Card,None,Home,Kitchen,1,772.47,0.01,0.237,772.47,764.7453,583.5,181.25,0,16,5,764.7453,0.004699999999957072
T0013887,2024-01-01T11:34:21Z,2024-01-01,2024,1,2024-01,2024Q1,10,IslandMart Store 10,Black River,-20.391351168727777,57.39401778902976,2151,Female,45-54,Returning,Online,BankTransfer,None,Grocery,Fresh,1,60.86,0.012,0.243,60.86,60.12968,45.52,14.61,0,24,NA,60.12968,3.200000000020964e-4
T0007155,2024-01-01T11:54:24Z,2024-01-01,2024,1,2024-01,2024Q1,8,IslandMart Store 08,Savanne,-20.483873453366627,57.53126940834703,1848,Female,25-34,Returning,In-store,Card,None,Grocery,Beverages,3,140.98,0.048,0.231,422.94,402.63888,309.63,93.01,0,NA,4.8,402.63888,0.0011200000000144428
T0011961,2024-01-01T12:09:43Z,2024-01-01,2024,1,2024-01,2024Q1,12,IslandMart Store 12,Plaines Wilhems,-20.28937462867736,57.45593342422749,40,PreferNotSay,45-54,Returning,In-store,Card,None,Home,Decor,1,599.83,0.005,0.268,599.83,596.83085,436.88,159.95,0,NA,4.7,596.83085,8.500000000140062e-4
T0002457,2024-01-01T12:48:15Z,2024-01-01,2024,1,2024-01,2024Q1,8,IslandMart Store 08,Savanne,-20.483873453366627,57.53126940834703,35,PreferNotSay,35-44,Returning,Online,BankTransfer,None,Pharmacy,Wellness,2,191.62,0.016,0.298,383.24,377.10816,264.73,112.38,0,14,3.9,377.10816,0.001840000000015607
T0017528,2024-01-01T12:58:10Z,2024-01-01,2024,1,2024-01,2024Q1,5,IslandMart Store 05,Black River,-20.34485764110588,57.362613537186526,1215,Female,35-44,VIP,Delivery,Card,None,Pharmacy,OTC,1,304.32,0.062,0.283,304.32,285.45216,204.67,80.78,0,58,3.7,285.45216,0.0021600000000034925
T0019688,2024-01-01T13:28:36Z,2024-01-01,2024,1,2024-01,2024Q1,2,IslandMart Store 02,Moka,-20.190172770008743,57.47793486185042,1153,Male,25-34,Returning,Online,Card,None,Grocery,Fresh,2,50.04,0.027,0.234,100.08,97.37783999999999,74.59,22.79,0,23,4,97.37783999999999,0.0021600000000034925
T0019010,2024-01-01T13:28:39Z,2024-01-01,2024,1,2024-01,2024Q1,11,IslandMart Store 11,Moka,-20.21829716408683,57.48904435100028,2017,PreferNotSay,35-44,Returning,In-store,Card,None,Home,Decor,1,629.27,0.007,0.198,629.27,624.86511,501.15,123.72,0,NA,4.3,624.86511,0.004890000000045802
T0010727,2024-01-01T14:14:39Z,2024-01-01,2024,1,2024-01,2024Q1,3,IslandMart Store 03,Plaines Wilhems,-20.283854671551527,57.490571303838465,460,PreferNotSay,55+,Returning,Online,Card,None,Grocery,Fresh,1,91.34,0.03,0.251,91.34,88.5998,66.36,22.24,0,13,NA,88.5998,1.9999999999242846e-4
T0010871,2024-01-01T14:28:52Z,2024-01-01,2024,1,2024-01,2024Q1,6,IslandMart Store 06,Rivière du Rempart,-20.036536377811963,57.724947458671785,1439,Male,35-44,New,Delivery,Cash,None,Baby,Diapers,3,636.55,0.03,0.224,1909.65,1852.3605,1437.43,414.93,0,51,4.8,1852.3605,5.000000001018634e-4
T0009631,2024-01-01T15:12:10Z,2024-01-01,2024,1,2024-01,2024Q1,9,IslandMart Store 09,Port Louis,-20.158312740003655,57.47250944285822,375,Male,25-34,New,Online,BankTransfer,None,Beauty,Skincare,1,544.26,0.026,0.302,544.26,530.10924,370.02,160.09,0,33,NA,530.10924,7.600000000138607e-4
T0016942,2024-01-01T16:31:27Z,2024-01-01,2024,1,2024-01,2024Q1,3,IslandMart Store 03,Plaines Wilhems,-20.283854671551527,57.490571303838465,413,Female,35-44,New,In-store,Cash,None,Grocery,Beverages,1,152.26,0.031,0.202,152.26,147.53993999999997,117.74,29.8,0,NA,5,147.53993999999997,6.000000001904482e-5
T0016547,2024-01-01T16:46:19Z,2024-01-01,2024,1,2024-01,2024Q1,5,IslandMart Store 05,Black River,-20.34485764110588,57.362613537186526,2160,Male,45-54,Returning,Online,Card,None,Grocery,Snacks,1,72.34,0.041,0.278,72.34,69.37406,50.09,19.28,0,23,4,69.37406,0.004059999999995512
T0023978,2024-01-01T19:09:39Z,2024-01-01,2024,1,2024-01,2024Q1,4,IslandMart Store 04,Pamplemousses,-20.097456163422862,57.57448002430312,2161,Female,18-24,New,In-store,Cash,None,Grocery,Snacks,4,81.43,0.019,0.196,325.72,319.53132,256.9,62.63,0,NA,4.4,319.53132,0.001320000000021082
T0018340,2024-01-01T19:10:23Z,2024-01-01,2024,1,2024-01,2024Q1,9,IslandMart Store 09,Port Louis,-20.158312740003655,57.47250944285822,183,Male,25-34,New,Online,Card,None,Pharmacy,OTC,1,237.53,0.019,0.261,237.53,233.01693,172.2,60.82,0,15,4.5,233.01693,0.003070000000008122
T0009407,2024-01-01T19:28:56Z,2024-01-01,2024,1,2024-01,2024Q1,5,IslandMart Store 05,Black River,-20.34485764110588,57.362613537186526,2190,Female,45-54,Returning,In-store,Card,None,Home,Cleaning,1,449,0.033,0.261,449,434.183,320.86,113.32,0,NA,4.5,434.183,0.002999999999985903
T0001748,2024-01-01T19:56:47Z,2024-01-01,2024,1,2024-01,2024Q1,7,IslandMart Store 07,Black River,-20.37842230013073,57.37749390052148,2167,Female,35-44,New,In-store,Cash,None,Fashion,Men,2,897.13,0.05,0.388,1794.26,1704.5469999999998,1043.18,661.37,0,NA,3.8,1704.5469999999998,0.003000000000156433
T0013275,2024-01-01T20:32:50Z,2024-01-01,2024,1,2024-01,2024Q1,5,IslandMart Store 05,Black River,-20.34485764110588,57.362613537186526,800,Female,25-34,New,Delivery,Card,None,Pharmacy,Wellness,3,111.07,0.035,0.26,333.21,321.54765,237.95,83.6,0,30,4.2,321.54765,0.0023500000000353793
T0006436,2024-01-01T20:35:24Z,2024-01-01,2024,1,2024-01,2024Q1,11,IslandMart Store 11,Moka,-20.21829716408683,57.48904435100028,605,Male,18-24,New,In-store,Cash,None,Beauty,Makeup,3,1061.64,0.044,0.305,3184.92,3044.78352,2116.12,928.66,0,NA,3.7,3044.78352,0.003519999999753054
T0021416,2024-01-01T22:25:25Z,2024-01-01,2024,1,2024-01,2024Q1,9,IslandMart Store 09,Port Louis,-20.158312740003655,57.47250944285822,1882,Male,45-54,Returning,Online,Card,None,Home,Kitchen,1,683.38,0.012,0.2,683.38,675.17944,540.14,135.04,0,26,4.7,675.17944,5.59999999950378e-4
T0013624,2024-01-01T22:51:10Z,2024-01-01,2024,1,2024-01,2024Q1,3,IslandMart Store 03,Plaines Wilhems,-20.283854671551527,57.490571303838465,537,Female,25-34,VIP,Online,MobileMoney,None,Grocery,Beverages,3,73.68,0.061,0.212,221.04,207.55656000000002,163.56,44,0,5,4.4,207.55656000000002,0.0034399999999834563
